GeneId,Alias,WT,WTMinus,PYE,PPL,V-EN,C-EN-V,EP-C,EP
AT1G01060,"LHY, LHY1",1.449040198,0.335821899,0.488221024,0.191734948,1.848762815,0.346205903,2.653975231,2.169671706
AT1G01140,"CIPK9, PKS6, SnRK3.12",5.54250965,2.153740768,1.371853341,1.63034183,0.600374643,1.029667935,0.637826298,1.011165938
AT1G01190,CYP78A8,6.942736076,2.910795335,2.984684583,2.031060548,0.747907507,1.063698878,0.724847276,1.488727095
AT1G01320,unknown,8.245302686,3.444513815,3.496613699,3.266420831,2.231998367,3.301721527,2.445161882,2.511671838
AT1G01340,"ACBK1, ATCNGC10, CNGC10",18.10393188,31.44903996,37.13166931,34.25167934,31.16973359,34.02260229,32.17804495,34.90158335
AT1G01380,ETC1,2.836764851,13.88441588,14.69465668,18.21165854,10.54137958,14.66958253,23.32363099,15.09539408
AT1G01420,UGT72B3,8.845111401,2.241935148,1.517984657,2.002562261,1.990905794,1.789415635,1.306368391,0.847062086
AT1G01430,TBL25,18.78358431,8.200078954,7.926304847,7.627255741,8.794625673,8.273620224,6.882803042,6.877292644
AT1G01453,unknown,2.182637745,0.488294102,0.073868743,0.435228591,0.170026593,0.067791212,0.257520221,0.623429883
AT1G01480,"ACS2, AT-ACC2",1.947647819,14.58221455,21.0254262,18.31704578,20.23831915,17.54633375,23.83881687,27.79526893
AT1G01490,unknown,54.04624008,82.22081355,63.65615273,92.2702999,65.60231698,73.22751539,75.11991871,69.33019231
AT1G01520,ASG4,0.075676107,2.194726076,4.762633931,2.5576536,11.30344725,6.787353866,8.871249846,6.798479362
AT1G01560,"ATMPK11, MPK11",0.113396814,3.945193713,4.535750121,3.682135645,2.415660796,3.630559649,2.579852157,3.013921318
AT1G01570,unknown,5.475122059,12.11987916,7.712085555,8.523287204,12.00937678,10.02687765,8.836756977,7.807422176
AT1G01580,"ATFRO2, FRD1, FRO2",39.62126336,1966.129517,391.6975521,1739.837683,1238.201721,681.7413491,1331.202666,924.4756607
AT1G01600,CYP86A4,1.57890862,3.964131145,9.136982646,3.86724925,7.790689757,10.19594341,9.66832424,8.862897601
AT1G01620,"PIP1;3, PIP1C, TMP-B",740.0403575,280.8445541,151.9493136,223.948316,218.6164925,169.0757448,134.3287634,142.4109395
AT1G01630,unknown,41.46904157,72.7343486,66.94418374,72.95087582,105.7662599,76.78182398,87.97444427,82.58333959
AT1G01680,"ATPUB54, PUB54",0.111049053,9.794206697,12.85206911,6.581392266,5.936333192,8.691440524,3.90009367,6.380433529
AT1G01750,ADF11,51.70739823,20.33574495,4.325601876,17.35638105,4.51379875,5.384889449,6.20201763,17.32584951
AT1G01770,unknown,24.53603474,15.50111118,12.77319673,14.45726655,10.95542194,11.88137998,9.378364786,11.51759378
